series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"extended BCH [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,18,16384,-0.5126260967920931,8,-11.5,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [128,64,22] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,18,4096,28.1429392356718,22,-11.2,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,24,16777216,33554432,524288,3355443,64,18,8192,5.779781662627213,12,-11.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(1,3) [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,64,18,65536,-3.769734632420261,4,-12.4,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(2,5) [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,18,16384,-0.5126260967920931,8,-11.5,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(3,7) [128,64,16] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,18,4096,6.029812600443045,16,-11.8,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(4,9) [512,256,32] exact",fixed,512,256,24,16777216,33554432,65536,3355443,64,18,1024,34.59618740494444,32,-11.4,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [64,32] reused",random-ensemble-average,64,32,24,16777216,33554432,524288,3355443,64,18,8192,-3.0869106897474676,7,-12.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [128,64] reused",random-ensemble-average,128,64,24,16777216,33554432,262144,3355443,64,18,4096,16.606854478539518,13,-12.1,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [512,256] reused",random-ensemble-average,512,256,24,16777216,33554432,65536,3355443,64,18,1024,132.67639763152405,52,-10.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,64,20,65536,-1.618976847576444,4,-12.4,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,20,16384,0.8689534438373043,8,-11.4,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [128,64,22] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,20,4096,28.63506027006645,22,-11.2,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,24,16777216,33554432,524288,3355443,64,20,8192,6.2476060831300515,12,-11.7,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(1,3) [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,64,20,65536,-1.618976847576444,4,-12.4,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(2,5) [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,20,16384,0.8689534438373043,8,-11.4,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(3,7) [128,64,16] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,20,4096,6.465445602934955,16,-11.8,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(4,9) [512,256,32] exact",fixed,512,256,24,16777216,33554432,65536,3355443,64,20,1024,35.05950491005168,32,-11.4,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [64,32] reused",random-ensemble-average,64,32,24,16777216,33554432,524288,3355443,64,20,8192,-2.6504735195152014,7,-12.8,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [128,64] reused",random-ensemble-average,128,64,24,16777216,33554432,262144,3355443,64,20,4096,17.043482933129123,13,-12.2,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [512,256] reused",random-ensemble-average,512,256,24,16777216,33554432,65536,3355443,64,20,1024,133.1985718163963,52,-10.7,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s20.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,128,14,32768,-11.356777515165543,4,-12.4,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,128,14,8192,-6.849594989911929,8,-11.7,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [128,64,22] exact",fixed,128,64,24,16777216,33554432,262144,3355443,128,14,2048,23.220726705007042,22,-11.2,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,24,16777216,33554432,524288,3355443,128,14,4096,1.261414508726658,12,-11.7,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(1,3) [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,128,14,32768,-11.356777515165543,4,-12.4,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(2,5) [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,128,14,8192,-6.849594989911929,8,-11.7,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(3,7) [128,64,16] exact",fixed,128,64,24,16777216,33554432,262144,3355443,128,14,2048,1.7870160736729466,16,-11.7,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(4,9) [512,256,32] exact",fixed,512,256,24,16777216,33554432,65536,3355443,128,14,512,30.132602804383747,32,-11.3,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [64,32] reused",random-ensemble-average,64,32,24,16777216,33554432,524288,3355443,128,14,4096,-7.154062120000738,7,-12.5,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [128,64] reused",random-ensemble-average,128,64,24,16777216,33554432,262144,3355443,128,14,2048,12.452209565142898,13,-12.0,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [512,256] reused",random-ensemble-average,512,256,24,16777216,33554432,65536,3355443,128,14,512,127.23121133400683,52,-10.7,0,48,4,992,nested-243d22763919c26c,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s14.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,128,16,32768,-6.090795395078082,4,-12.5,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,128,16,8192,-2.182096801420492,8,-11.6,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [128,64,22] exact",fixed,128,64,24,16777216,33554432,262144,3355443,128,16,2048,27.352095698086245,22,-11.2,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,24,16777216,33554432,524288,3355443,128,16,4096,5.090359140259002,12,-11.7,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(1,3) [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,128,16,32768,-6.090795395078082,4,-12.5,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(2,5) [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,128,16,8192,-2.182096801420492,8,-11.6,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(3,7) [128,64,16] exact",fixed,128,64,24,16777216,33554432,262144,3355443,128,16,2048,5.416725555248238,16,-11.8,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(4,9) [512,256,32] exact",fixed,512,256,24,16777216,33554432,65536,3355443,128,16,512,33.91611266028597,32,-11.4,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [64,32] reused",random-ensemble-average,64,32,24,16777216,33554432,524288,3355443,128,16,4096,-3.6653120228681964,7,-12.7,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [128,64] reused",random-ensemble-average,128,64,24,16777216,33554432,262144,3355443,128,16,2048,16.010310757035537,13,-12.1,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"random full-rank [512,256] reused",random-ensemble-average,512,256,24,16777216,33554432,65536,3355443,128,16,512,131.7644139377023,52,-10.7,0,32,4,480,nested-00044e579b028e57,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s16.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,128,18,32768,-3.5009370443257337,4,-12.4,0,32,4,64,nested-0fa90bd15a210940,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,128,18,8192,-0.22468430039102466,8,-11.5,0,32,4,64,nested-0fa90bd15a210940,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"extended BCH [128,64,22] exact",fixed,128,64,24,16777216,33554432,262144,3355443,128,18,2048,28.432357882437895,22,-11.2,0,32,4,64,nested-0fa90bd15a210940,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,24,16777216,33554432,524288,3355443,128,18,4096,6.069830101704663,12,-11.7,0,32,4,64,nested-0fa90bd15a210940,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(1,3) [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,128,18,32768,-3.5009370443257337,4,-12.4,0,32,4,64,nested-0fa90bd15a210940,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(2,5) [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,128,18,8192,-0.22468430039102466,8,-11.5,0,32,4,64,nested-0fa90bd15a210940,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
"RM(3,7) [128,64,16] exact",fixed,128,64,24,16777216,33554432,262144,3355443,128,18,2048,6.3128123273924235,16,-11.8,0,32,4,64,nested-0fa90bd15a210940,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t128_s18.json,"Activation-aware Q1; expanded grid [-16,0]; supersedes the e24 coarse grid for comparisons; no full-distance claim."
